,experiment_id,start_times,end_times,parameter_values
194,experiment_1067,19.9011452198,20.0011452198,10
195,experiment_1067,21.1947338581,21.2947338581,19
196,experiment_1067,22.5058224201,22.6058224201,8
197,experiment_1067,23.8182013035,23.9182013035,16
198,experiment_1067,25.1177392006,25.2177392006,14
199,experiment_1067,26.4107234478,26.5107234478,13
200,experiment_1067,27.7081007957,27.8081007957,6
201,experiment_1067,29.0034403801,29.1034403801,12
202,experiment_1067,30.2997834682,30.3997834682,4
203,experiment_1067,31.5965051651,31.6965051651,17
204,experiment_1067,32.8877384663,32.9877384663,20
205,experiment_1067,34.1839177608,34.2839177608,16
206,experiment_1067,35.4769430161,35.5769430161,8
207,experiment_1067,36.7681353092,36.8681353092,18
208,experiment_1067,38.0609455109,38.1609455109,9
209,experiment_1067,39.3544213772,39.4544213772,11
210,experiment_1067,40.6480507851,40.7480507851,15
211,experiment_1067,41.9408712387,42.0408712387,3
212,experiment_1067,43.2367842197,43.3367842197,19
213,experiment_1067,44.5316221714,44.6316221714,5
214,experiment_1067,45.8279855251,45.9279855251,7
215,experiment_1067,47.1203963757,47.2203963757,10
216,experiment_1067,48.4130837917,48.5130837917,4
217,experiment_1067,49.7045731544,49.8045731544,6
218,experiment_1067,51.0098147392,51.1098147392,13
219,experiment_1067,52.3065366745,52.4065366745,10
220,experiment_1067,53.6003401279,53.7003401279,19
221,experiment_1067,54.8939900398,54.9939900398,7
222,experiment_1067,56.1862576008,56.2862576008,9
223,experiment_1067,57.4791498184,57.5791498184,5
224,experiment_1067,58.773373127,58.873373127,8
225,experiment_1067,60.0744469166,60.1744469166,16
226,experiment_1067,61.3780195713,61.4780195713,18
227,experiment_1067,62.6704201698,62.7704201698,3
228,experiment_1067,63.9644591808,64.0644591808,11
229,experiment_1067,65.2565116882,65.3565116882,15
230,experiment_1067,66.5539708138,66.6539708138,12
231,experiment_1067,67.8451223373,67.9451223373,20
232,experiment_1067,69.1344611645,69.2344611645,14
233,experiment_1067,70.4310498238,70.5310498238,17
234,experiment_1067,71.7245461941,71.8245461941,15
235,experiment_1067,73.0185852051,73.1185852051,8
236,experiment_1067,74.3116207123,74.4116207123,20
237,experiment_1067,75.6060795784,75.7060795784,11
238,experiment_1067,76.9026069641,77.0026069641,18
239,experiment_1067,78.2035579681,78.3035579681,4
240,experiment_1067,79.5136125088,79.6136125088,5
241,experiment_1067,80.8151164055,80.9151164055,12
